Repository,Tag,Base Image,Aliases,Dockerfile
qoricode/activemq-artemis,1.0.0,openjdk:8u232-jre-stretch,qoricode/activemq-artemis:1.0-latest,Dockerfile
qoricode/activemq-artemis,1.0.0-alpine,openjdk:8u212-jre-alpine3.9,qoricode/activemq-artemis:1.0-alpine-latest,Dockerfile.alpine
qoricode/activemq-artemis,1.1.0,openjdk:8u232-jre-stretch,qoricode/activemq-artemis:1.1-latest,Dockerfile
qoricode/activemq-artemis,1.1.0-alpine,openjdk:8u212-jre-alpine3.9,qoricode/activemq-artemis:1.1-alpine-latest,Dockerfile.alpine
qoricode/activemq-artemis,1.2.0,openjdk:8u232-jre-stretch,qoricode/activemq-artemis:1.2-latest,Dockerfile
qoricode/activemq-artemis,1.2.0-alpine,openjdk:8u212-jre-alpine3.9,qoricode/activemq-artemis:1.2-alpine-latest,Dockerfile.alpine
qoricode/activemq-artemis,1.3.0,openjdk:8u232-jre-stretch,qoricode/activemq-artemis:1.3-latest,Dockerfile
qoricode/activemq-artemis,1.3.0-alpine,openjdk:8u212-jre-alpine3.9,qoricode/activemq-artemis:1.3-alpine-latest,Dockerfile.alpine
qoricode/activemq-artemis,1.4.0,openjdk:8u232-jre-stretch,qoricode/activemq-artemis:1.4-latest,Dockerfile
qoricode/activemq-artemis,1.4.0-alpine,openjdk:8u212-jre-alpine3.9,qoricode/activemq-artemis:1.4-alpine-latest,Dockerfile.alpine
qoricode/activemq-artemis,1.5.0,openjdk:8u232-jre-stretch,,Dockerfile
qoricode/activemq-artemis,1.5.0-alpine,openjdk:8u212-jre-alpine3.9,,Dockerfile.alpine
qoricode/activemq-artemis,1.5.1,openjdk:8u232-jre-stretch,,Dockerfile
qoricode/activemq-artemis,1.5.1-alpine,openjdk:8u212-jre-alpine3.9,,Dockerfile.alpine
qoricode/activemq-artemis,1.5.2,openjdk:8u232-jre-stretch,,Dockerfile
qoricode/activemq-artemis,1.5.2-alpine,openjdk:8u212-jre-alpine3.9,,Dockerfile.alpine
qoricode/activemq-artemis,1.5.3,openjdk:8u232-jre-stretch,,Dockerfile
qoricode/activemq-artemis,1.5.3-alpine,openjdk:8u212-jre-alpine3.9,,Dockerfile.alpine
qoricode/activemq-artemis,1.5.4,openjdk:8u232-jre-stretch,,Dockerfile
qoricode/activemq-artemis,1.5.4-alpine,openjdk:8u212-jre-alpine3.9,,Dockerfile.alpine
qoricode/activemq-artemis,1.5.5,openjdk:8u232-jre-stretch,,Dockerfile
qoricode/activemq-artemis,1.5.5-alpine,openjdk:8u212-jre-alpine3.9,,Dockerfile.alpine
qoricode/activemq-artemis,1.5.6,openjdk:8u232-jre-stretch,qoricode/activemq-artemis:1.5-latest qoricode/activemq-artemis:1-latest,Dockerfile
qoricode/activemq-artemis,1.5.6-alpine,openjdk:8u212-jre-alpine3.9,qoricode/activemq-artemis:1.5-alpine-latest qoricode/activemq-artemis:1-alpine-latest,Dockerfile.alpine
qoricode/activemq-artemis,2.0.0,openjdk:8u232-jre-stretch,qoricode/activemq-artemis:2.0-latest,Dockerfile
qoricode/activemq-artemis,2.0.0-alpine,openjdk:8u212-jre-alpine3.9,qoricode/activemq-artemis:2.0-alpine-latest,Dockerfile.alpine
qoricode/activemq-artemis,2.1.0,openjdk:8u232-jre-stretch,qoricode/activemq-artemis:2.1-latest,Dockerfile
qoricode/activemq-artemis,2.1.0-alpine,openjdk:8u212-jre-alpine3.9,qoricode/activemq-artemis:2.1-alpine-latest,Dockerfile.alpine
qoricode/activemq-artemis,2.2.0,openjdk:8u232-jre-stretch,qoricode/activemq-artemis:2.2-latest,Dockerfile
qoricode/activemq-artemis,2.2.0-alpine,openjdk:8u212-jre-alpine3.9,qoricode/activemq-artemis:2.2-alpine-latest,Dockerfile.alpine
qoricode/activemq-artemis,2.3.0,openjdk:8u232-jre-stretch,qoricode/activemq-artemis:2.3-latest,Dockerfile
qoricode/activemq-artemis,2.3.0-alpine,openjdk:8u212-jre-alpine3.9,qoricode/activemq-artemis:2.3-alpine-latest,Dockerfile.alpine
qoricode/activemq-artemis,2.4.0,openjdk:8u232-jre-stretch,qoricode/activemq-artemis:2.4-latest,Dockerfile
qoricode/activemq-artemis,2.4.0-alpine,openjdk:8u212-jre-alpine3.9,qoricode/activemq-artemis:2.4-alpine-latest,Dockerfile.alpine
qoricode/activemq-artemis,2.5.0,openjdk:8u232-jre-stretch,qoricode/activemq-artemis:2.5-latest,Dockerfile
qoricode/activemq-artemis,2.5.0-alpine,openjdk:8u212-jre-alpine3.9,qoricode/activemq-artemis:2.5-alpine-latest,Dockerfile.alpine
qoricode/activemq-artemis,2.6.0,openjdk:8u232-jre-stretch,,Dockerfile
qoricode/activemq-artemis,2.6.0-alpine,openjdk:8u212-jre-alpine3.9,,Dockerfile.alpine
qoricode/activemq-artemis,2.6.1,openjdk:8u232-jre-stretch,,Dockerfile
qoricode/activemq-artemis,2.6.1-alpine,openjdk:8u212-jre-alpine3.9,,Dockerfile.alpine
qoricode/activemq-artemis,2.6.2,openjdk:8u232-jre-stretch,,Dockerfile
qoricode/activemq-artemis,2.6.2-alpine,openjdk:8u212-jre-alpine3.9,,Dockerfile.alpine
qoricode/activemq-artemis,2.6.3,openjdk:8u232-jre-stretch,,Dockerfile
qoricode/activemq-artemis,2.6.3-alpine,openjdk:8u212-jre-alpine3.9,,Dockerfile.alpine
qoricode/activemq-artemis,2.6.4,openjdk:8u232-jre-stretch,qoricode/activemq-artemis:2.6-latest,Dockerfile
qoricode/activemq-artemis,2.6.4-alpine,openjdk:8u212-jre-alpine3.9,qoricode/activemq-artemis:2.6-alpine-latest,Dockerfile.alpine
qoricode/activemq-artemis,2.7.0,openjdk:8u232-jre-stretch,qoricode/activemq-artemis:2.7-latest,Dockerfile
qoricode/activemq-artemis,2.7.0-alpine,openjdk:8u212-jre-alpine3.9,qoricode/activemq-artemis:2.7-alpine-latest,Dockerfile.alpine
qoricode/activemq-artemis,2.8.0,openjdk:8u232-jre-stretch,qoricode/activemq-artemis:2.8-latest,Dockerfile
qoricode/activemq-artemis,2.8.0-alpine,openjdk:8u212-jre-alpine3.9,qoricode/activemq-artemis:2.8-alpine-latest,Dockerfile.alpine
qoricode/activemq-artemis,2.9.0,openjdk:8u232-jre-stretch,qoricode/activemq-artemis:2.9-latest,Dockerfile
qoricode/activemq-artemis,2.9.0-alpine,openjdk:8u212-jre-alpine3.9,qoricode/activemq-artemis:2.9-alpine-latest,Dockerfile.alpine
qoricode/activemq-artemis,2.10.0,openjdk:8u232-jre-stretch,,Dockerfile
qoricode/activemq-artemis,2.10.0-alpine,openjdk:8u212-jre-alpine3.9,,Dockerfile.alpine
qoricode/activemq-artemis,2.10.1,openjdk:8u232-jre-stretch,qoricode/activemq-artemis:2.10-latest,Dockerfile
qoricode/activemq-artemis,2.10.1-alpine,openjdk:8u212-jre-alpine3.9,qoricode/activemq-artemis:2.10-alpine-latest,Dockerfile.alpine
qoricode/activemq-artemis,2.11.0,openjdk:8u232-jre-stretch,qoricode/activemq-artemis:2.11-latest,Dockerfile
qoricode/activemq-artemis,2.11.0-alpine,openjdk:8u212-jre-alpine3.9,qoricode/activemq-artemis:2.11-alpine-latest,Dockerfile.alpine
qoricode/activemq-artemis,2.12.0,openjdk:8u232-jre-stretch,qoricode/activemq-artemis:2.12-latest,Dockerfile
qoricode/activemq-artemis,2.12.0-alpine,openjdk:8u212-jre-alpine3.9,qoricode/activemq-artemis:2.12-alpine-latest,Dockerfile.alpine
qoricode/activemq-artemis,2.13.0,openjdk:8u232-jre-stretch,qoricode/activemq-artemis:2.13-latest,Dockerfile
qoricode/activemq-artemis,2.13.0-alpine,openjdk:8u212-jre-alpine3.9,qoricode/activemq-artemis:2.13-alpine-latest,Dockerfile.alpine
qoricode/activemq-artemis,2.14.0,openjdk:8u232-jre-stretch,qoricode/activemq-artemis:2.14-latest,Dockerfile
qoricode/activemq-artemis,2.14.0-alpine,openjdk:8u212-jre-alpine3.9,qoricode/activemq-artemis:2.14-alpine-latest,Dockerfile.alpine
qoricode/activemq-artemis,2.15.0,openjdk:8u232-jre-stretch,qoricode/activemq-artemis:2.15-latest,Dockerfile
qoricode/activemq-artemis,2.15.0-alpine,openjdk:8u212-jre-alpine3.9,qoricode/activemq-artemis:2.15-alpine-latest,Dockerfile.alpine
qoricode/activemq-artemis,2.16.0,openjdk:8u232-jre-stretch,qoricode/activemq-artemis:2.16-latest qoricode/activemq-artemis:2-latest qoricode/activemq-artemis:latest,Dockerfile
qoricode/activemq-artemis,2.16.0-alpine,openjdk:8u212-jre-alpine3.9,qoricode/activemq-artemis:2.16-alpine-latest qoricode/activemq-artemis:2-alpine-latest qoricode/activemq-artemis:alpine-latest,Dockerfile.alpine
qoricode/activemq-artemis,2.17.0,openjdk:8u232-jre-stretch,qoricode/activemq-artemis:2.17-latest qoricode/activemq-artemis:2-latest qoricode/activemq-artemis:latest,Dockerfile
qoricode/activemq-artemis,2.17.0-alpine,openjdk:8u212-jre-alpine3.9,qoricode/activemq-artemis:2.17-alpine-latest qoricode/activemq-artemis:2-alpine-latest qoricode/activemq-artemis:alpine-latest,Dockerfile.alpine
qoricode/activemq-artemis,2.18.0,openjdk:8u232-jre-stretch,qoricode/activemq-artemis:2.18-latest qoricode/activemq-artemis:2-latest qoricode/activemq-artemis:latest,Dockerfile
qoricode/activemq-artemis,2.18.0-alpine,openjdk:8u212-jre-alpine3.9,qoricode/activemq-artemis:2.18-alpine-latest qoricode/activemq-artemis:2-alpine-latest qoricode/activemq-artemis:alpine-latest,Dockerfile.alpine
qoricode/activemq-artemis,2.19.0,openjdk:8u232-jre-stretch,qoricode/activemq-artemis:2.19-latest qoricode/activemq-artemis:2-latest qoricode/activemq-artemis:latest,Dockerfile
qoricode/activemq-artemis,2.19.0-alpine,openjdk:8u212-jre-alpine3.9,qoricode/activemq-artemis:2.19-alpine-latest qoricode/activemq-artemis:2-alpine-latest qoricode/activemq-artemis:alpine-latest,Dockerfile.alpine
